ID,Name,Expiration
9,Omega-3,032027
5,Ibuprofen,122027
100,Metformin,042026
28,Magnesium,122027
7,Aspirin,122023
10,VitaminC,092025
9,Omega-3,032027
5,Ibuprofen,122027
100,Metformin,042026
28,Magnesium,122027
7,Aspirin,122023
10,VitaminC,092025
9,Omega-3,032027
5,Ibuprofen,122027
100,Metformin,042026
28,Magnesium,122027
7,Aspirin,122023
10,VitaminC,092025
9,Omega-3,032027
5,Ibuprofen,122027
100,Metformin,042026
28,Magnesium,122027
7,Aspirin,122023
10,VitaminC,092025
9,Omega-3,032027
5,Ibuprofen,122027
100,Metformin,042026
28,Magnesium,122027
7,Aspirin,122023
10,VitaminC,092025
9,Omega-3,032027
5,Ibuprofen,122027
100,Metformin,042026
28,Magnesium,122027
7,Aspirin,122023
10,VitaminC,092025
